season,round,url,raceName,circuitID,CircuitName,Locality,country,eventDate
1952,2,http://en.wikipedia.org/wiki/1952_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1952-05-30
1952,3,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1952-06-22
1952,4,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,French Grand Prix,essarts,Rouen-Les-Essarts,Rouen,France,1952-07-06
1952,5,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1952-07-19
1952,6,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1952-08-03
1952,7,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1952-08-17
1952,8,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1952-09-07
1953,1,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1953-01-18
1953,2,http://en.wikipedia.org/wiki/1953_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1953-05-30
1953,3,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1953-06-07
1953,4,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1953-06-21
1953,5,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1953-07-05
1953,6,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1953-07-18
1953,7,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1953-08-02
1953,8,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Bern,Switzerland,1953-08-23
1953,9,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1953-09-13
1954,1,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1954-01-17
1954,2,http://en.wikipedia.org/wiki/1954_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1954-05-31
1954,3,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1954-06-20
1954,4,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1954-07-04
1954,5,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1954-07-17
1954,6,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1954-08-01
1954,7,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Bern,Switzerland,1954-08-22
1954,8,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1954-09-05
1954,9,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,Spanish Grand Prix,pedralbes,Circuit de Pedralbes,Barcelona,Spain,1954-10-24
1955,1,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1955-01-16
1955,2,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1955-05-22
1955,3,http://en.wikipedia.org/wiki/1955_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1955-05-30
1955,4,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1955-06-05
1955,5,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1955-06-19
1955,6,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,British Grand Prix,aintree,Aintree,Liverpool,UK,1955-07-16
1955,7,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1955-09-11
1956,1,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1956-01-22
1956,2,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1956-05-13
1956,3,http://en.wikipedia.org/wiki/1956_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1956-05-30
1956,4,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1956-06-03
1956,5,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1956-07-01
1956,6,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1956-07-14
1956,7,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1956-08-05
1956,8,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1956-09-02
1957,1,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1957-01-13
1957,2,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1957-05-19
1957,3,http://en.wikipedia.org/wiki/1957_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1957-05-30
1957,4,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,French Grand Prix,essarts,Rouen-Les-Essarts,Rouen,France,1957-07-07
1957,5,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,British Grand Prix,aintree,Aintree,Liverpool,UK,1957-07-20
1957,6,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1957-08-04
1957,7,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,Pescara Grand Prix,pescara,Pescara Circuit,Pescara,Italy,1957-08-18
1957,8,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1957-09-08
1958,1,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1958-01-19
1958,2,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1958-05-18
1958,3,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1958-05-26
1958,4,http://en.wikipedia.org/wiki/1958_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1958-05-30
1958,5,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1958-06-15
1958,6,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1958-07-06
1958,7,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1958-07-19
1958,8,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1958-08-03
1958,9,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,Portuguese Grand Prix,boavista,Circuito da Boavista,Oporto,Portugal,1958-08-24
1958,10,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1958-09-07
1958,11,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,Moroccan Grand Prix,ain-diab,Ain Diab,Casablanca,Morocco,1958-10-19
1959,1,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1959-05-10
1959,2,http://en.wikipedia.org/wiki/1959_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1959-05-30
1959,3,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1959-05-31
1959,4,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1959-07-05
1959,5,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,British Grand Prix,aintree,Aintree,Liverpool,UK,1959-07-18
1959,6,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,German Grand Prix,avus,AVUS,Berlin,Germany,1959-08-02
1959,7,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,Portuguese Grand Prix,monsanto,Monsanto Park Circuit,Lisbon,Portugal,1959-08-23
1959,8,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1959-09-13
1959,9,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,United States Grand Prix,sebring,Sebring International Raceway,Florida,USA,1959-12-12
1960,1,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1960-02-07
1960,2,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1960-05-29
1960,3,http://en.wikipedia.org/wiki/1960_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1960-05-30
1960,4,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1960-06-06
1960,5,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1960-06-19
1960,6,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1960-07-03
1960,7,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1960-07-16
1960,8,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,Portuguese Grand Prix,boavista,Circuito da Boavista,Oporto,Portugal,1960-08-14
1960,9,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1960-09-04
1960,10,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,United States Grand Prix,riverside,Riverside International Raceway,California,USA,1960-11-20
1961,1,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1961-05-14
1961,2,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1961-05-22
1961,3,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1961-06-18
1961,4,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1961-07-02
1961,5,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,British Grand Prix,aintree,Aintree,Liverpool,UK,1961-07-15
1961,6,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1961-08-06
1961,7,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1961-09-10
1961,8,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1961-10-08
1962,1,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1962-05-20
1962,2,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1962-06-03
1962,3,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1962-06-17
1962,4,http://en.wikipedia.org/wiki/1962_French_Grand_Prix,French Grand Prix,essarts,Rouen-Les-Essarts,Rouen,France,1962-07-08
1962,5,http://en.wikipedia.org/wiki/1962_British_Grand_Prix,British Grand Prix,aintree,Aintree,Liverpool,UK,1962-07-21
1962,6,http://en.wikipedia.org/wiki/1962_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1962-08-05
1962,7,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1962-09-16
1962,8,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1962-10-07
1962,9,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,South African Grand Prix,george,Prince George Circuit,Eastern Cape Province,South Africa,1962-12-29
1963,1,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1963-05-26
1963,2,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1963-06-09
1963,3,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1963-06-23
1963,4,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1963-06-30
1963,5,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1963-07-20
1963,6,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1963-08-04
1963,7,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1963-09-08
1963,8,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1963-10-06
1963,9,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1963-10-27
1963,10,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,South African Grand Prix,george,Prince George Circuit,Eastern Cape Province,South Africa,1963-12-28
1964,1,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1964-05-10
1964,2,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1964-05-24
1964,3,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1964-06-14
1964,4,http://en.wikipedia.org/wiki/1964_French_Grand_Prix,French Grand Prix,essarts,Rouen-Les-Essarts,Rouen,France,1964-06-28
1964,5,http://en.wikipedia.org/wiki/1964_British_Grand_Prix,British Grand Prix,brands_hatch,Brands Hatch,Kent,UK,1964-07-11
1964,6,http://en.wikipedia.org/wiki/1964_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1964-08-02
1964,7,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,Austrian Grand Prix,zeltweg,Zeltweg,Styria,Austria,1964-08-23
1964,8,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1964-09-06
1964,9,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1964-10-04
1964,10,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1964-10-25
1965,1,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,South African Grand Prix,george,Prince George Circuit,Eastern Cape Province,South Africa,1965-01-01
1965,2,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1965-05-30
1965,3,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1965-06-13
1965,4,http://en.wikipedia.org/wiki/1965_French_Grand_Prix,French Grand Prix,charade,Charade Circuit,Clermont-Ferrand,France,1965-06-27
1965,5,http://en.wikipedia.org/wiki/1965_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1965-07-10
1965,6,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1965-07-18
1965,7,http://en.wikipedia.org/wiki/1965_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1965-08-01
1965,8,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1965-09-12
1965,9,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1965-10-03
1965,10,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1965-10-24
1966,1,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1966-05-22
1966,2,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1966-06-12
1966,3,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1966-07-03
1966,4,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,British Grand Prix,brands_hatch,Brands Hatch,Kent,UK,1966-07-16
1966,5,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1966-07-24
1966,6,http://en.wikipedia.org/wiki/1966_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1966-08-07
1966,7,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1966-09-04
1966,8,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1966-10-02
1966,9,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1966-10-23
1967,1,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,South African Grand Prix,kyalami,Kyalami,Midrand,South Africa,1967-01-02
1967,2,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1967-05-07
1967,3,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1967-06-04
1967,4,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1967-06-18
1967,5,http://en.wikipedia.org/wiki/1967_French_Grand_Prix,French Grand Prix,lemans,Le Mans,Le Mans,France,1967-07-02
1967,6,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1967-07-15
1967,7,http://en.wikipedia.org/wiki/1967_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1967-08-06
1967,8,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,Canadian Grand Prix,mosport,Mosport International Raceway,Ontario,Canada,1967-08-27
1967,9,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1967-09-10
1967,10,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1967-10-01
1967,11,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1967-10-22
1968,1,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,South African Grand Prix,kyalami,Kyalami,Midrand,South Africa,1968-01-01
1968,2,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix,Spanish Grand Prix,jarama,Jarama,Madrid,Spain,1968-05-12
1968,3,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1968-05-26
1968,4,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1968-06-09
1968,5,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1968-06-23
1968,6,http://en.wikipedia.org/wiki/1968_French_Grand_Prix,French Grand Prix,essarts,Rouen-Les-Essarts,Rouen,France,1968-07-07
1968,7,http://en.wikipedia.org/wiki/1968_British_Grand_Prix,British Grand Prix,brands_hatch,Brands Hatch,Kent,UK,1968-07-20
1968,8,http://en.wikipedia.org/wiki/1968_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1968-08-04
1968,9,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1968-09-08
1968,10,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,Canadian Grand Prix,tremblant,Circuit Mont-Tremblant,Quebec,Canada,1968-09-22
1968,11,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,United States Grand Prix,watkins_glen,Watkins Glen,New York State,USA,1968-10-06
1968,12,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1968-11-03
1969,1,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix,South African Grand Prix,kyalami,Kyalami,Midrand,South Africa,1969-03-01
1969,2,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix,Spanish Grand Prix,montjuic,Montjuïc,Barcelona,Spain,1969-05-04
1969,3,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1969-05-18
1969,4,http://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1969-06-21
